f_location,latitude,longitude,location
"May Pen Hospital,CLARENDON,Jamaica",17.973776,-77.26073559999999,"XPFQ+GP6, May Pen, Jamaica"
"Summerfield Community Center,CLARENDON,Jamaica",18.0956724,-77.28936060000001,"Summerfield, Jamaica"
"Spalding Health Center,CLARENDON,Jamaica",18.1556297,-77.46406689999999,"5G4P+793, Spalding, Jamaica"
"Frankfield Health Center,CLARENDON,Jamaica",18.144858,-77.3726379,"Frankfield, Jamaica"
"Kellits Health Center,CLARENDON,Jamaica",18.1829949,-77.2462628,"Kellits, Jamaica"
"Raymonds Health Center,CLARENDON,Jamaica",17.8599199,-77.24041919999999,"VQ55+XR8, Hayes, Jamaica"
"May Pen Health Center,CLARENDON,Jamaica",17.964915,-77.2384411,"XQ76+XJ7, Main St, May Pen, Jamaica"
"Race Course Health Center,CLARENDON,Jamaica",17.8337048,-77.2825909,"RPM8+FXM, Race Course, Jamaica"
"Lionel Town Health Center,CLARENDON,Jamaica",17.8099915,-77.2347674,"Lionel Town, Jamaica"
"Thompson Town Health Center,CLARENDON,Jamaica",18.0837548,-77.3600719,"3JMQ+GX3, Thompson Town, Jamaica"
"Tweedside Health Center,CLARENDON,Jamaica",17.9557183,-77.2405153,"Clarendon, Jamaica"
"James Hill Health Center,CLARENDON,Jamaica",18.183702,-77.3439283,"James Hill, Jamaica"
"Moravia Health Centre,CLARENDON,Jamaica",17.9557183,-77.2405153,"Clarendon, Jamaica"
"Crofts Hill Health Centre,CLARENDON,Jamaica",18.143569,-77.2092402,"4QVR+C8C, Crofts Hill, Jamaica"
"Halse Hall Health Centre,CLARENDON,Jamaica",17.9245905,-77.24158919999999,"WQF5+R9M, Hayes, Jamaica"
"Rock River Health Centre,CLARENDON,Jamaica",18.0635419,-77.20027449999999,"Rock River, Jamaica"
"Halse Hall Health Centre,CLARENDON,Jamaica",17.9245905,-77.24158919999999,"WQF5+R9M, Hayes, Jamaica"
"Port Antonio Health Center,PORTLAND,Jamaica",18.1712764,-76.44763209999999,"Port Antonio, Jamaica"
"Manchioneal Health Center,PORTLAND,Jamaica",18.0359057,-76.2788084,"2PPC+9F8, A4, Manchioneal, Jamaica"
"Fair Prospect Health Center,PORTLAND,Jamaica",18.1270204,-76.3328782,"4MG8+RR5, Boston Bay, Jamaica"
"Buff Bay Community Hospital,PORTLAND,Jamaica",18.2333182,-76.6572503,"68MV+83H, Buff Bay, Jamaica"
"Fair Prospect Health Centre,PORTLAND,Jamaica",18.1399341,-76.3354851,"4MQ7+XRC, Boston Bay, Jamaica"
"Ochi Rios Health Center,ST. ANN,Jamaica",18.4073894,-77.1031345,"Ocho Rios, Jamaica"
" St. Ann’s Bay Health Center,ST. ANN,Jamaica",18.4329473,-77.19739969999999,"St Ann's Bay, Jamaica"
"Claremont Health Center,ST. ANN,Jamaica",18.3283077,-77.1801102,"8RH9+8XC, Unnamed Road, Claremont, Jamaica"
"Alexandria Community Hospital,ST. ANN,Jamaica",18.3281428,-77.2405153,"St. Ann Parish, Jamaica"
"Brown’s Town Health Center,ST. ANN,Jamaica",18.3894586,-77.3726379,"Browns Town, Jamaica"
"Morant Bay Health Center,ST. THOMAS,Jamaica",17.8886522,-76.3897733,"Morant Bay, Jamaica"
"Falmouth Health Center,TRELAWNY,Jamaica",18.4928457,-77.656476,"Falmouth, Jamaica"
"Annotto Bay Health Center,ST. MARY,Jamaica",18.2703512,-76.7704413,"Annotto Bay, Jamaica"
"Highgate Health Center,ST. MARY,Jamaica",18.2727345,-76.89117809999999,"74F5+3GW, Highgate, Jamaica"
"Port Maria Health Center,ST. MARY,Jamaica",18.3653596,-76.8922729,"Port Maria, Jamaica"
"Gayle Health Center,ST. MARY,Jamaica",18.3267954,-77.0075055,"Gayle, Jamaica"
"Oracabessa Health Center,ST. MARY,Jamaica",18.4034755,-76.938379,"Oracabessa, Jamaica"
