序号,地市,区县,新冠疫苗接种单位名称,地址,预约电话（固定电话，用于公布给公众咨询预约事宜）,bd09ll_Lon,bd09ll_Lat,Wgs84_Lon,Wgs84_Lat
191,湛江市,遂溪县,遂溪县洋青镇卫生院沙古分院,遂溪县洋青镇沙古府前路5号,0759-7208660,110.080593,21.410418,110.0695739,21.40686234
180,湛江市,遂溪县,遂溪县城月镇中心卫生院,遂溪县城月镇城月大道8号,0759-7886287,110.080738,21.167271,110.0697296,21.16370673
254,湛江市,雷州市,雷州市西湖街道社区卫生服务中心,雷州市西湖大道99号文博楼,0759-8831738,110.087516,20.92442606,110.076491,20.92096959
263,湛江市,雷州市,雷州市妇幼保健计划生育服务中心,雷州市雷南大道第二单元,0759-8819868,110.08758,20.90633099,110.0765564,20.90287555
201,湛江市,廉江市,广东省晨光农场医院,廉江市横山镇国防路晨光农场医院,0759-6795282,110.0878524,21.47440648,110.0768243,21.47097282
237,湛江市,雷州市,雷州市白沙镇卫生院,雷州市雷城镇二桥街191号,0759-8780112,110.0940131,20.90316283,110.0829705,20.89978358
193,湛江市,遂溪县,广东省广前糖业发展有限公司医院,遂溪县城月镇螺岗岭,0759-7870908,110.09401,21.2233,110.0829829,21.21991812
262,湛江市,雷州市,雷州市人民医院,雷州市西湖大道30号,0759-8850058,110.0953088,20.91678549,110.0842578,20.91341761
245,湛江市,雷州市,雷州市南兴镇中心卫生院,雷州市南兴镇环市路040号,0759-8464130,110.095788,20.80742525,110.0847454,20.8040588
256,湛江市,雷州市,广东省东方红农场医院,雷州市英利镇东方红农场医院,0759-8678142,110.095902,20.56976499,110.0848738,20.56635251
266,湛江市,雷州市,雷州市附城镇卫生院成人门诊,雷州市东四路与工业一路交叉处西南侧,0759-8838669,110.0972649,20.94568867,110.0862271,20.94234025
259,湛江市,雷州市,广东省金星农场医院,雷州市龙门镇689县道金星农场场部,0759-8530720,110.099029,20.690765,110.0879884,20.68740778
235,湛江市,雷州市,雷州市雷城街道社区卫生服务中心,雷州市雷城街道办曲街054号,0759-8837919,110.1017391,20.90887373,110.0906781,20.90554798
250,湛江市,雷州市,雷州市英利镇卫生院,雷州市英利镇建新路001号,0759-8677732,110.102052,20.579064,110.0910206,20.57569399
236,湛江市,雷州市,雷州市附城镇卫生院,雷州市东四路与工业一路交叉处西南侧,0759-8838669,110.1042417,20.94643192,110.0931951,20.94311661
264,湛江市,雷州市,雷州市中医医院,雷州市雷城镇镇中西路圣官前之22号,0759-8816333,110.104439,20.917989,110.0933739,20.91467057
205,湛江市,廉江市,广东省东升农场医院,廉江市石岭镇东升农场场部,0759-6240334,110.117802,21.724053,110.1067237,21.72077378
224,湛江市,廉江市,廉江市塘蓬镇卫生院,廉江市塘蓬镇塘六路65号,0759-6168237,110.1204784,21.80535823,110.1094169,21.80208927
190,湛江市,遂溪县,遂溪县洋青镇卫生院,遂溪县洋青镇青娥路44号,0759-7232663,110.1256292,21.3657531,110.1145929,21.36229057
238,湛江市,雷州市,雷州市沈塘镇卫生院,雷州市沈唐沈霞路036号,0759-8128769,110.1296937,20.9922576,110.1187062,20.98873915
298,湛江市,徐闻县,徐闻县下桥镇卫生院,徐闻县下桥镇东升路54号,0759-4113148,110.131331,20.453689,110.1203546,20.45004263
222,湛江市,廉江市,廉江市石岭镇中心卫生院,廉江市石岭镇创新路76号,0759-6256000,110.132799,21.65307,110.1217625,21.64956064
223,湛江市,廉江市,廉江市石岭镇第二卫生院,廉江市石岭镇龙湾圩新区,0759-6266186,110.156675,21.571327,110.1457764,21.56747829
309,湛江市,徐闻县,广东省五一农场医院,徐闻县五一农场医院,0759-4122816,110.158309,20.477729,110.147464,20.47374523
296,湛江市,徐闻县,徐闻县南山镇卫生院,徐闻县南山镇木棉路85号,0759-4911323,110.170952,20.329368,110.160115,20.32529825
302,湛江市,徐闻县,徐闻县徐城街道社区卫生服务中心一门诊,徐闻县红旗一路59号,0759-4868203,110.177288,20.340236,110.1664641,20.33622914
313,湛江市,徐闻县,徐闻县人民医院,徐闻县徐城街道健康路28号,0759-4861777,110.1782095,20.32887246,110.1673768,20.32486719
151,湛江市,麻章区,麻章区太平镇卫生院,麻章区太平镇霞海街21号,0759-2868163,110.178824,21.05822333,110.167962,21.05439323
301,湛江市,徐闻县,徐闻县徐城街道社区卫生服务中心二门诊,徐闻县红旗一路99号,0759-4806023,110.178855,20.339236,110.1680304,20.33524673
305,湛江市,徐闻县,徐闻县城北乡卫生院,徐闻县207国道头铺路段东侧城北卫生院,18927615106,110.17985,20.338383,110.1690246,20.33440566
312,湛江市,徐闻县,徐闻县妇幼保健院,徐闻县红旗二路172号,0759-4866603,110.180807,20.327775,110.1699735,20.32380211
178,湛江市,遂溪县,遂溪县岭北镇卫生院,遂溪县岭北镇金岭中路10号,0759-7909211,110.1814643,21.27502767,110.1705787,21.2712259
251,湛江市,雷州市,雷州市雷高镇卫生院,雷州市雷高镇雷南大道154号,0759-8900069,110.188503,20.813785,110.177644,20.8101033
207,湛江市,廉江市,廉江市和寮镇卫生院,廉江市和寮镇和西路23号,0759-6100989,110.1956898,21.86188828,110.1847625,21.85849109
225,湛江市,廉江市,廉江市新民镇卫生院,廉江市新民镇三角山圩长石路,0759-6748481,110.2048999,21.53281237,110.1939791,21.5294636
314,湛江市,徐闻县,徐闻县体育馆大型临时接种点,徐闻县徐海大道徐闻体育中心,0759-4911659,110.209179,20.297431,110.1983226,20.29393649
179,湛江市,遂溪县,遂溪县建新镇卫生院,遂溪县建新镇振兴路5号,0759-7929264,110.214192,21.127859,110.2032959,21.12461855
289,湛江市,徐闻县,徐闻县海安镇卫生院,徐闻县海安大道33号,0759-4662682,110.2305511,20.27618384,110.2197239,20.27282768
308,湛江市,徐闻县,广东省南华农场医院,徐闻县下桥镇南华农场医院,0759-4176722,110.2330492,20.45901045,110.2222,20.45575091
310,湛江市,徐闻县,广东省勇士农场医院,徐闻县勇士农场医院,0759-4129033,110.24239,20.50941596,110.231584,20.5061025
212,湛江市,廉江市,廉江市吉水镇卫生院,廉江市吉水镇吉和路31号,0759-6897018,110.246866,21.683604,110.2360106,21.68037666
197,湛江市,遂溪县,遂溪县体育馆大型临时接种点,遂溪县遂城镇农林路遂溪县体育馆,0759-7766359,110.2535178,21.38212844,110.2426719,21.37871579
195,湛江市,遂溪县,遂溪县中医院,遂溪县遂城镇农林路63号,0759-7711060,110.2551938,21.38105116,110.2443545,21.37761011
174,湛江市,遂溪县,遂溪县遂城镇卫生院(城区接种点),遂溪县遂城镇府前路十一横12号,0759-7773369,110.2554969,21.37853789,110.2446607,21.37509177
252,湛江市,雷州市,雷州市调风镇卫生院,雷州市调风镇人民大道069号,0759-8946768,110.256397,20.686001,110.2455956,20.68252069
152,湛江市,麻章区,广东省国营湖光农场医院,麻章区湖光镇湖光农场,0759-2843300,110.257705,21.207736,110.2469152,21.20425038
196,湛江市,遂溪县,遂溪县人民医院,遂溪县遂城镇站南路,0759-7710018,110.2605902,21.3819063,110.2497682,21.37837289
175,湛江市,遂溪县,遂溪县遂城镇卫生院,遂溪县遂城镇东山北路48号,0759-7788077,110.2640186,21.38705578,110.2532036,21.38346555
231,湛江市,廉江市,廉江市妇幼保健院（新院）,廉江市北部湾大道与廉安路交叉红绿灯往石岭方向300米,0759-6601150,110.264493,21.588875,110.2537016,21.58532472
232,湛江市,廉江市,廉江市中医院,廉江市北部湾大道10号,0759-6611383,110.2737033,21.58112675,110.2629359,21.57744705
260,湛江市,雷州市,广东省丰收糖业发展有限公司南光医院,雷州市南光医院门诊二楼,0759-8920210,110.181055,20.660324,110.1702074,20.65650116
261,湛江市,雷州市,广东省丰收农场医院,雷州市丰收糖业发展有限公司医院,0759-8951749,110.165487,20.668646,110.1546212,20.66470428
202,湛江市,廉江市,廉江市城北街道社区卫生服务中心,廉江市城北街道新风北路31号,0759-6677691,110.2812067,21.63027917,110.2704045,21.62654371
203,湛江市,廉江市,廉江市城北街道永兴社区卫生服务站,廉江市石龙南路永乐居8、9号商铺,0759-6677221,110.28145,21.617289,110.2706563,21.61354952
204,湛江市,廉江市,廉江市城南街道社区卫生服务中心,廉江市城南街道英石路29号,0759-6861996,110.283524,21.604908,110.2727423,21.6011578
234,湛江市,廉江市,廉江市体育馆大型临时接种点,廉江市黄村街与建设西路交叉路口往西约100米,0759-6622990,110.2879402,21.61816996,110.2771407,21.61441432
311,湛江市,徐闻县,广东省友好农场医院,徐闻县曲界镇友好农场医院,0759-4327386,110.2897862,20.41620962,110.2790455,20.41228825
217,湛江市,廉江市,廉江市罗州街道社区卫生服务中心,廉江市人民大道130号,0759-6619693,110.290824,21.611627,110.2800257,21.60787496
233,湛江市,廉江市,廉江康福医院,廉江市中环二路54号,0759-6689221,110.2914798,21.6235965,110.2806695,21.61984839
206,湛江市,廉江市,廉江市高桥镇卫生院,廉江市高桥镇开发区228国道旁,0759-6367166,110.2924477,21.6158165,110.2816416,21.6120707
219,湛江市,廉江市,廉江市石城镇卫生院,廉江市石城镇中山一路48号,0759-6621163,110.292647,21.60542746,110.2818512,21.60168123
230,湛江市,廉江市,廉江市妇幼保健院（常规门诊）,廉江市北部湾大道与廉安路交叉红绿灯往石岭方向300米,0759-6601150,110.295218,21.61251,110.2844077,21.60877846
150,湛江市,麻章区,麻章区湖光镇卫生院,麻章区湖光镇大寨路3号,0759-3586905,110.3056374,21.12888071,110.2948159,21.12519982
208,湛江市,廉江市,廉江市河唇镇卫生院,廉江市河唇镇红荔路37号,0759-6451468,110.3152673,21.70155422,110.3043885,21.69810535
155,湛江市,经开区,经开区民安街道社区卫生服务中心,经开区民安镇民勤路43号,0759-2979800,110.325899,21.014294,110.3149743,21.01091735
149,湛江市,麻章区,麻章区麻章镇卫生院,麻章镇民乐西街53号,0759-3307399,110.330167,21.27044463,110.3191967,21.26711266
176,湛江市,遂溪县,遂溪县黄略镇卫生院黄略院区,遂溪县黄略镇高碧村委会高碧村,0759-7976916,110.331819,21.32717294,110.3208742,21.32386814
294,湛江市,徐闻县,徐闻县龙塘镇卫生院,徐闻县龙塘镇龙兴大道002,0759-4618498,110.3321333,20.32129252,110.3212063,20.31781489
304,湛江市,徐闻县,徐闻县曲界镇卫生院,徐闻县曲界镇建安路020号,0759-4301991,110.3326764,20.48927582,110.3217752,20.48590307
220,湛江市,廉江市,廉江市石角镇卫生院,廉江市石角镇人民路1号,0759-6403611,110.333982,21.895587,110.3229674,21.89246771
307,湛江市,徐闻县,广东省华海糖业发展有限公司医院,徐闻县华海糖业发展有限公司医院,0759-4220601,110.3410144,20.49390158,110.3300826,20.49058474
215,湛江市,廉江市,廉江市良垌镇第二卫生院,廉江市良垌镇新华新区湛新路2号,0759-6908037,110.3430328,21.45321232,110.3320406,21.44998905
210,湛江市,廉江市,广东省红湖农场医院,廉江市河唇镇红湖农场场部,0759-6490243,110.350489,21.768832,110.3394275,21.76568422
306,湛江市,徐闻县,广东省红星农场医院,徐闻红星农场医院,0759-4329231,110.352767,20.40295396,110.3417987,20.39956258
253,湛江市,雷州市,雷州市东里镇卫生院,雷州市东里镇东华路001号,0759-8966775,110.3539947,20.79259997,110.3429809,20.78931581
134,湛江市,赤坎区,湛江卫生学校门诊,赤坎区寸金路37号,0759-3155058,110.3563681,21.28069381,110.3453253,21.27738368
132,湛江市,赤坎区,湛江中心人民医院,赤坎区源珠路236号,0759-3157030,110.36095,21.25577199,110.3499174,21.25240791
159,湛江市,经开区,经开区仁瑞医院,经开区东海岛民安镇三角路,0759-2976336,110.364324,21.031492,110.353296,21.02808254
127,湛江市,赤坎区,赤坎区中华街道社区卫生服务中心,赤坎区前进路76号,0759-3310017,110.3643839,21.2736708,110.353342,21.2702549
121,湛江市,赤坎区,赤坎区寸金街道社区卫生服务中心,赤坎区大德路129号,0759-3472923,110.3644305,21.28467995,110.3533899,21.28126402
130,湛江市,赤坎区,赤坎区中医医院,赤坎区中山二路67号,0759-3337087,110.3674454,21.2790081,110.3564059,21.27554231
131,湛江市,赤坎区,湛江市妇幼保健院,赤坎区中华路1号,0759-3119062,110.367463,21.278291,110.3564235,21.27482487
122,湛江市,赤坎区,赤坎区中山街道社区卫生服务中心,赤坎区新春路26号吉祥花园2、3楼1层第13-14号铺位,0759-3342278,110.368598,21.286639,110.357562,21.28315412
128,湛江市,赤坎区,赤坎区北桥街道社区卫生服务中心,赤坎区北桥路1号之三,0759-3310766,110.3692998,21.28740057,110.358265,21.28390348
133,湛江市,赤坎区,湛江市第一中医医院,赤坎区民生路33号,0759-3279952,110.371156,21.28216,110.3601215,21.27862897
124,湛江市,赤坎区,赤坎区南桥街道社区卫生服务中心,赤坎区南桥南路28号,0759-3355013,110.3713981,21.27198535,110.3603639,21.26844951
177,湛江市,遂溪县,遂溪县黄略镇卫生院南亭院区,遂溪县黄略镇南亭村委会南亭圩,0759-7794233,110.376071,21.365832,110.365058,21.36221872
123,湛江市,赤坎区,赤坎区民主街道社区卫生服务中心,赤坎区金城新区金城大道南年丰豪庭二栋9-10号首层商铺,0759-3128026,110.377846,21.285742,110.3668231,21.28208709
129,湛江市,赤坎区,赤坎区妇幼保健院,赤坎区百姓村东三路3号,0759-3214699,110.3782596,21.27069405,110.3672364,21.26703065
290,湛江市,徐闻县,徐闻县和安镇卫生院,徐闻县和安镇向阳街068号,0759-4207710,110.384335,20.640376,110.3733798,20.63658691
157,湛江市,经开区,经开区泉庄街道社区卫生服务中心,经开区椹川大道中与龙潮路交叉口岭南医院一号楼一楼,0759-2827280,110.385443,21.243961,110.3744539,21.24017346
163,湛江市,经开区,湛江岭南医院,经开区椹川大道中与龙潮路交叉口岭南医院一号楼二楼,0759-2829937,110.385506,21.243674,110.3745173,21.23988547
1616,茂名市,化州市,兰山卫生院预防接种门诊,化州市中垌镇兰山旧街13号                                                                    ,0668-7760665,110.3862111,21.83934147,110.3751956,21.83568914
213,湛江市,廉江市,广东省黎明农场医院,廉江市良垌镇黎明农场场部,0759-6930292,110.388052,21.541462,110.3770441,21.53766793
126,湛江市,赤坎区,赤坎区沙湾街道社区卫生服务中心,赤坎区军民路21号嘉富花园5号铺,0759-3128090,110.3890197,21.28023516,110.3780126,21.27638816
135,湛江市,赤坎区,湛江市体育中心大型临时接种点,赤坎区人民大道北34号湛江市体育中心,0759-3258723,110.390997,21.261893,110.379998,21.25801852
160,湛江市,经开区,湛江滨海医院,经开区人民大道中64号滨海医院,0759-3639251,110.3971138,21.24232829,110.3861396,21.23838815
162,湛江市,经开区,湛江和家宝妇产医院,经开区人民大道中62号,0759-2832624,110.397455,21.241709,110.3864816,21.237766
153,湛江市,经开区,经开区东山街道社区卫生服务中心,经开区东海岛东山镇海天路21号,0759-2966345,110.398711,21.03738597,110.3877249,21.03343409
143,湛江市,霞山区,霞山区海头街道社区卫生服务中心,霞山区椹川东三路8号,0759-2303505,110.3993112,21.21399475,110.3883552,21.21004021
161,湛江市,经开区,湛江好好医院,经开区东山镇湛林路28号,0759-2960681,110.4011645,21.03310098,110.3901793,21.02913361
137,湛江市,霞山区,霞山区建设街道社区卫生服务中心,霞山区解放西路23号,0759-2162311,110.403147,21.197047,110.3921834,21.19307091
214,湛江市,廉江市,廉江市良垌镇卫生院,廉江市良垌镇良平路43号,0759-6965000,110.4049711,21.50404468,110.3939643,21.50008606
138,湛江市,霞山区,霞山区东新街道社区卫生服务中心,霞山区解放西路14号,0759-2683054,110.4063375,21.1989625,110.3953742,21.19498045
146,湛江市,霞山区,广东省农垦中心医院,霞山区人民大道中2号,0759-2633673,110.4077052,21.21900083,110.396747,21.21502024
141,湛江市,霞山区,霞山区工农街道办社区卫生服务中心,霞山区解放西路10号,0759-2236632,110.408008,21.199426,110.3970439,21.1954446
140,湛江市,霞山区,霞山区友谊街道社区卫生服务中心,霞山区友谊路11号,0759-2200623,110.409558,21.187571,110.398582,21.18359056
1620,茂名市,化州市,新华农场医院预防接种门诊,广东省化州市新华农场医院,13828659081,110.409841,22.022252,110.3988151,22.01850397
145,湛江市,霞山区,广东医科大学附属医院,霞山区人民大道南57号,"0759-2387327，
2387566",110.409923,21.205259,110.3989607,21.2012822
144,湛江市,霞山区,湛江市第四人民医院,霞山区友谊路8号,0759-2658009,110.414151,21.190061,110.4031715,21.18610272
136,湛江市,霞山区,霞山区新园街道社区卫生服务中心,霞山区文明东路8号,0759-3388816,110.4151129,21.20867655,110.404145,21.20472767
148,湛江市,霞山区,广东省湛江农垦局疾病预防控制中心,霞山区录塘路9号,0759-2620566,110.417766,21.21611495,110.4067943,21.21218954
147,湛江市,霞山区,广东医科大学附属第二医院,霞山区民有路12号,0759-2372866,110.419102,21.208681,110.4081266,21.20476923
139,湛江市,霞山区,霞山区解放爱国街道社区卫生服务中心,霞山区民治路45号,0759-2211317,110.420813,21.19784301,110.4098277,21.19394978
1618,茂名市,化州市,文楼卫生院预防接种门诊,化州市文楼镇圩开发区                                                                          ,0668-7551175,110.4210908,22.10835548,110.4100263,22.10473114
125,湛江市,赤坎区,赤坎区调顺街道社区卫生服务中心,赤坎区调顺路110号,0759-3219063,110.4227974,21.30198414,110.4117865,21.29811483
1617,茂名市,化州市,平定卫生院预防接种门诊,化州市平定镇交通路118号                                                                       ,0668-7533438,110.423111,22.030049,110.4120681,22.02642063
158,湛江市,经开区,经开区乐华街道社区卫生服务中心,经开区海滨大道中9号,0759-2827376,110.423082,21.230358,110.4120926,21.22649447
142,湛江市,霞山区,霞山区海滨街道社区卫生服务中心,霞山区海静路6号海观园首层,0759-2121120,110.4244449,21.21814019,110.413458,21.21429688
164,湛江市,经开区,中国人民解放军南部战区海军第一医院,经开区海滨大道中40号,0759-3565145,110.426391,21.230073,110.4153936,21.226258
292,湛江市,徐闻县,徐闻县锦和镇中心卫生院,徐闻县锦和镇健康路002号,0759-4258468,110.427612,20.578013,110.4166235,20.57417419
1614,茂名市,化州市,新安卫生院预防接种门诊,化州市新安镇建设中路41号                                                                 ,0668-7733202,110.4349219,21.65354542,110.423852,21.64994221
171,湛江市,坡头区,坡头区麻斜街道卫生服务中心,坡头区麻斜街道121号,0759-3984120,110.444009,21.205489,110.4329712,21.20198603
167,湛江市,坡头区,坡头区官渡镇卫生院,坡头区官渡镇广湛路136号,0759-3996209,110.450511,21.388818,110.4394176,21.38542138
300,湛江市,徐闻县,徐闻县新寮镇卫生院,徐闻县新寮镇跃进西街20号,0759-4297009,110.452989,20.62365297,110.4419733,20.62026403
173,湛江市,坡头区,湛江南油医院,坡头区南油二区咀山路1389号,0759-3585608,110.46152,21.253928,110.4504436,21.25064381
170,湛江市,坡头区,坡头区南调街道卫生服务中心,坡头区南调路781号,0759-3587718,110.4643146,21.24912997,110.4532467,21.24586159
303,湛江市,徐闻县,徐闻县前山镇卫生院,徐闻县前山镇教育街01号,0759-4399599,110.470725,20.428148,110.4597033,20.42478264
293,湛江市,徐闻县,徐闻县锦和镇第二卫生院,徐闻县锦和镇跃进街,0759-4274347,110.4756583,20.57493169,110.4646521,20.57161364
1615,茂名市,化州市,中垌卫生院预防接种门诊,化州市中垌镇省道284线东侧                                                                    ,0668-7753718,110.482545,21.826456,110.4715254,21.82326924
172,湛江市,坡头区,坡头区坡头区妇幼保健院,坡头区麻坡路5号,0759-3587090,110.483404,21.24013099,110.4724115,21.23679199
216,湛江市,廉江市,廉江市良垌镇第三卫生院,廉江市良垌镇平坦圩振兴路,0759-6995142,110.4885224,21.48906991,110.4775344,21.48569236
1611,茂名市,化州市,笪桥卫生院预防接种门诊,化州市笪桥镇平安大道8号                                                                       ,0668-7878997,110.499585,21.57179702,110.4886812,21.5682884
154,湛江市,经开区,经开区东简街道社区卫生服务中心,经开区东简街道简南路10号,0759-2920555,110.502841,21.022431,110.4919523,21.01883272
299,湛江市,徐闻县,徐闻县下洋镇卫生院,徐闻县下洋镇东华大道南侧023号,0759-4369266,110.50467,20.507925,110.4938497,20.50423709
165,湛江市,坡头区,坡头区人民医院,坡头区坡头镇红旗路18号,0759-3821379,110.5082772,21.26404462,110.4974059,21.26037278
1613,茂名市,化州市,官桥卫生院预防接种门诊,化州市官桥镇健康路1号                                                                     ,0668-7710573,110.5093282,21.74303224,110.4984379,21.73945325
1621,茂名市,化州市,建设农场医院预防接种门诊,化州市河西街道新路口,18125038959,110.5220842,21.74364913,110.5112519,21.73999236
166,湛江市,坡头区,坡头区龙头镇中心卫生院,坡头区龙头镇龙祖路一横路8号,0759-3764547,110.531447,21.36327399,110.5206773,21.35955151
267,湛江市,吴川市,吴川市塘缀镇中心卫生院,吴川市塘缀镇解放路4号,0759-5306697,110.5475263,21.47688655,110.5367623,21.47339486
268,湛江市,吴川市,吴川市塘缀镇第二卫生院,吴川市塘缀镇人民路4号,0759-6513987,110.5482636,21.47626119,110.5374995,21.47278284
1612,茂名市,化州市,石湾社区卫生服务中心预防接种门诊,化州市石湾街道开发区                                                                      ,0668-7727105,110.5505483,21.66374016,110.5397599,21.66035399
169,湛江市,坡头区,坡头区南三镇卫生院,坡头区南三镇交通路2号,0759-3930333,110.557402,21.163696,110.5466151,21.16036669
1610,茂名市,化州市,良光卫生院预防接种门诊,化州市良光镇良光一街1号                                                                     ,0668-7650667,110.562634,21.574882,110.5518543,21.57170447
156,湛江市,经开区,经开区硇洲镇卫生院,经开区硇洲镇新华街,0759-2904298,110.567292,20.899757,110.5565096,20.89661858
1605,茂名市,化州市,合江卫生院预防接种门诊,化州市合江镇府前路3号                                                                     ,0668-7511391,110.5705246,21.9376442,110.5597128,21.93474658
1603,茂名市,化州市,林尘卫生院预防接种门诊,化州市林尘镇幸福路21号                                                                    ,0668-7792211,110.5810489,21.83612004,110.570225,21.83328411
272,湛江市,吴川市,吴川市黄坡镇第二卫生院,吴川市黄坡镇勤政路3号,0759-5822228,110.59189,21.325735,110.5811079,21.32276884
1607,茂名市,化州市,播扬卫生院预防接种门诊,化州市播扬镇幸福路6号                                                                     ,0668-7590350,110.5991677,22.11933637,110.5883161,22.11658346
