f_location,latitude,longitude,location,
"Tsandi Hospital,Tsandi,Omusati,Namibia",-17.7464105,14.8877876,"Tsandi, Namibia",
"Okatsedi Clinic,Tsandi,Omusati,Namibia",-17.7464105,14.8877876,"Tsandi, Namibia",
"Ongulumbashe Clinic,Tsandi,Omusati,Namibia",-17.7464105,14.8877876,"Tsandi, Namibia",
"lilyatcko Clinic,Tsandi,Omusati,Namibia",-17.7464105,14.8877876,"Tsandi, Namibia",
"Oshitudha Clinc,Tsandi,Omusati,Namibia",-17.7464105,14.8877876,"Tsandi, Namibia",
"Omakange Clinic,Tsandi,Omusati,Namibia",-17.7464105,14.8877876,"Tsandi, Namibia",
"Onesi Health Centre,Tsandi,Omusati,Namibia",-17.5915252,14.6859956,"CM5P+99Q, Onesi, Namibia",
"Oshikuku Hospital,Oshikuku,Omusati,Namibia",-17.6543285,15.4727138,"Oshikuku, Namibia",
"Outapi Hospital Centre,Outapi,Omusati,Namibia",-17.5093929,14.9885388,"Outapi, Namibia",
"Omona WaTjihozu Health Centre,Outapi,Omusati,Namibia",-17.434475,14.433844,"HC8M+6G9, Ruacana, Namibia",
"Omahene Health Centre,Outapi,Omusati,Namibia",-17.5093929,14.9885388,"Outapi, Namibia",
"Onawa Clinic,Outapi,Omusati,Namibia",-17.4601431,15.0855611,"G3QP+W6V, Oluvongo, Namibia",
"Police Regional Headquarters-Outapi,Outapi,Omusati,Namibia",-17.5093929,14.9885388,"Outapi, Namibia",
"Okahao Hospital,Okahao,Omusati,Namibia",-17.8872427,15.0615865,"Okahao, Namibia",
"Windhock Central Hospital,Windhoek,Khomas,Namibia",-22.5537286,17.0711856,"C3WC+GF3, Windhoek, Namibia",
"Windhock Correctional Facility,Windhoek,Khomas,Namibia",-22.5211199,17.0598453,"F3H5+HW5, Windhoek, Namibia",
"Rhino Park Private Hospital,Windhoek,Khomas,Namibia",-22.5469783,17.0756139,"Rhino Street, Windhoek, Namibia",
"Lady Pohamba Private Hospital,Windhoek,Khomas,Namibia",-22.622011,17.0953295,"Frankie Fredericks Street, Windhoek, Namibia",
"Onghuwo Yepongo Centre-Okuryangava,Windhoek,Khomas,Namibia",-22.5070291,17.0568962,"Okuryangava, Windhoek, Namibia",
"Katutura East Constitucncy Hall- Donkerhock,Windhoek,Khomas,Namibia",-22.5211336,17.0598491,"Katutura, Windhoek, Namibia",
"OMNICARE Mobile,Windhoek,Khomas,Namibia",-22.5608807,17.0657549,"Windhoek, Namibia",
"N.G Church Eros,Windhoek,Khomas,Namibia",-22.5551886,17.0913409,"18 Promenaden Rd, Windhoek, Namibia",
"Hosiana Parish Hal,Windhoek,Khomas,Namibia",-22.5330996,17.0682789,"F389+Q86, Windhoek, Namibia",
"Gondwana Drive Through,Windhoek,Khomas,Namibia",-22.5831456,17.0587689,"C385+PGR, Hendrik Witbooi Dr, Windhoek, Namibia",
"University of Namibia (UNAM),Windhoek,Khomas,Namibia",-22.6109753,17.0566607,"93Q4+JM3, Windhoek, Namibia",
"Baumgartsbruun Clinic,Windhoek,Khomas,Namibia",-22.610619,16.7829419,"Baumgartsbrunn, Neuheusis, Namibia",
"Dordabis Clinic,Windhoek,Khomas,Namibia",-22.5608807,17.0657549,"Windhoek, Namibia",
"Groot Aub Clinic,Windhoek,Khomas,Namibia",-22.5608807,17.0657549,"Windhoek, Namibia",
"Police National Headquarters-Windhoek,Windhoek,Khomas,Namibia",-22.5608807,17.0657549,"Windhoek, Namibia",
"Khorixas Clinic,Khorixas,Kunene,Namibia",-20.3724727,14.9641608,"JXH7+2M7, C39, Khorixas, Namibia",
"Annichab Clinic,Khorixas,Kunene,Namibia",-20.3720648,14.959329,"Khorixas, Namibia",
"Fransfontein Clinic,Khorixas,Kunene,Namibia",-20.3720648,14.959329,"Khorixas, Namibia",
"Bersig Clinic,Khorixas,Kunene,Namibia",-20.3720648,14.959329,"Khorixas, Namibia",
"Opuwo Hospital,,Opuwo,Kunene,Namibia",-18.0554282,13.8412099,"WRVR+RFG, Opuwo, Namibia",
"Sesfontein Health Centre,Opuwo,Kunene,Namibia",-19.1242934,13.6174609,"Sesfontein, Namibia",
"Okanguati Health Centre,Opuwo,Kunene,Namibia",-18.0580139,13.8361177,"Opuwo, Namibia",
"Ombombo Clinic,Opuwo,Kunene,Namibia",-18.0580139,13.8361177,"Opuwo, Namibia",
"Otjokavare Clinic,Opuwo,Kunene,Namibia",-18.0580139,13.8361177,"Opuwo, Namibia",
"Orumana Clinic,Opuwo,Kunene,Namibia",-18.0580139,13.8361177,"Opuwo, Namibia",
"Otuani Clinic,Opuwo,Kunene,Namibia",-18.5650596,13.6796115,"Otuani, Namibia",
"Etoto Clinic,Opuwo,Kunene,Namibia",-18.0580139,13.8361177,"Etoto(Ongete), 91, Opuwo, Namibia",
"Ohandungu Clinic,Opuwo,Kunene,Namibia",-18.0580139,13.8361177,"Opuwo, Namibia",
"Anker Clinic,Opuwo,Kunene,Namibia",-18.0580139,13.8361177,"Opuwo, Namibia",
"Erwee Clinic,Opuwo,Kunene,Namibia",-18.0580139,13.8361177,"Opuwo, Namibia",
"Terrace Bay Clinic,Opuwo,Kunene,Namibia",-18.0580139,13.8361177,"Opuwo, Namibia",
"Tomas Adam Sheya,Opuwo,Kunene,Namibia",-18.0580139,13.8361177,"Opuwo, Namibia",
"Etanga Clinic,Opuwo,Kunene,Namibia",-18.0580139,13.8361177,"Opuwo, Namibia",
"Police Regional Headquarters -Opuwo,Opuwo,Kunene,Namibia",-18.0580139,13.8361177,"Opuwo, Namibia",
"Outjo Clinic,Outjo,Kunene,Namibia",-20.1077747,16.166112,"V5R8+VCX, Outjo, Namibia",
"Kamanjab Health Centre,Outjo,Kunene,Namibia",-19.6271834,14.8425433,"Kamanjab, Namibia",
,,,,
*139 clinic's specific coordinates are not found and are represented by their districts' coordinates,,,,
