Province,region1,region2,name,Address,latitude,longitude
New Brunswick,FREDERICTON,FREDERICTON,BOWMAN PHARMACY INC,1111 RUE REGENT STREET ¨C UNIT/UNIT? 2,45.9408834,-66.6572637
Quebec,Mauricie-et-Centre-du-Qu¨¦bec,,Point de service local (vaccination) -Victoriaville,"1111, Boulevard Jutras Est",46.059653,-71.9267684
Saskatchewan,Saskatoon,,The City Pharmacy,"1115 22nd Street West, Unit B, Saskatoon, SK, S7M 0S4",52.128951,-106.6867889
New Brunswick,MONCTON,MONCTON,PHARMACIE JEAN COUTU #102,1116 CHEMIN MOUNTAIN ROAD,46.1057309,-64.8229851
Saskatchewan,,,SASKATOON,1120 20th Street West,52.1265462,-106.6869265
Saskatchewan,Regina,,Queen City Wellness Pharmacy,"112011th Avenue, Regina, SK, S4P 0C3",50.4502791,-104.6125178
Saskatchewan,Melfort,,Rexall No. 7313 Melfort,"1121 Main Street N, Melfort, SK, SOE 1A0",52.8691998,-104.6070709
Saskatchewan,North Battleford,,Battlefords Prescription Centre,"1121B - 103rd Street, North Battleford, SK, S9A1K5",52.773842,-108.294991
Quebec,Laurentides,,Boisbriand,"1126, boul. de la Grande-All¨¦e",46.7907144,-71.243932
New Brunswick,FREDERICTON,FREDERICTON,ROSS DRUG,1128 RUE SMYTHE STREET,45.9436929,-66.6669397
Saskatchewan,Saskatoon,,Safeway Pharmacy No. 4878,"1134 Primrose Drive, Saskatoon, SK, S7K 5S6",52.1674479,-106.6439135
Quebec,Mont¨¦r¨¦gie,,LONGUEUIL,"1136, boulevard?Marie-Victorin",45.5576988,-73.4938039
New Brunswick,SAINT JOHN,GRAND-BAY WESTFIELD,GRAND-BAY WESTFIELD GAURDIAN,114 PROMENADE RIVERVALLEY DRIVE,45.2997698,-66.1945928
Saskatchewan,Pfizer Bivalent,,Shoppers Drug Mart No. 403,"11412 Railway Avenue E, North Battleford, SK, S9A3G8",52.7604737,-108.2745015
Saskatchewan,Yorkton,,Loucks Medi-Health Pharmacy,"115 - 41 Broadway Street W, Yorkton, SK, S3N 0L6",51.2104453,-102.4660399
Saskatchewan,Saskatoon,,Costco Pharmacy No. 152,"115 Marquis Drive, Saskatoon, SK, S7R1C7",52.1939978,-106.6760925
New Brunswick,SAINT JOHN,ROTHESAY,LOBLAWS PHARMACY,115 PROMENADE CAMPBELL DRIVE,45.3931977,-65.9683742
Saskatchewan,Weyburn,,Drugstore Pharmacy No. 6760,"115 Souris Avenue NW, Weyburn, SK, S4H 3N6",49.6622714,-103.8611705
Saskatchewan,Swift Current,,Pioneer Co-op Drugs #4,"1150 Central Avenue N, Swift Current, SK, S9H 0G1",50.2999718,-107.7995665
New Brunswick,FREDERICTON,OROMOCTO,LOBLAWS PHARMACY,1150 RUE ONONDAGA STREET,45.8525068,-66.4731914
New Brunswick,FREDERICTON,FREDERICTON,LOBLAWS PHARMACY,116 RUE MAIN STREET,46.2887752,-67.5154115
New Brunswick,MONCTON,RICHIBUCTO,SOBEYS PHARMACY,1160 BOULEVARD FINDLAY BOULEVARD,46.0492578,-64.7949464
Quebec,Outaouais,,QUYON CLSC,"1164, rue ClarendonQuyon QC J0X 2V0",45.5203944,-76.2307866
New Brunswick,EDMUNDSTON ,,KEDGWICK PUBLIC HEALTH /CENTRE DE LA SANT? PUBLIQUE DE KEDGWICK,116-G RUE NOTRE-DAME STREE,46.3560949,-64.7618437
Saskatchewan,Maple Creek,,Lansdall IDA Pharmacy Ltd.,"117 Jasper Street, Maple Creek, SK, SON 1N0",49.908515,-109.479126
New Brunswick,MIRAMICHI ,,NEGUAC PUBLIC HEALTH /CENTRE DE LA SANT? PUBLIQUE DE NEGUAC,"1175 RUE PRINCIPALE STREET, BUREAU/SUITE 60",47.6762278,-65.6928656
New Brunswick,SAINT JOHN,ROTHESAY,ROTHESAY PHARMACHOICE,118 CHEMIN HAMPTON ROAD,45.3986318,-65.9789366
New Brunswick,FREDERICTON,FREDERICTON,SOBEYS PHARMACY,1180 RUE PROSPECT STREET,45.938923,-66.6622187
New Brunswick,FREDERICTON,OROMOCTO,SHOPPERS DRUG MART #175,1198 RUE ONONDAGA STREET,45.8521392,-66.474214
Saskatchewan,Saskatoon,,Saskatoon Family Pharmacy,"120 415 Wellman Crescent, Saskatoon, SK, S7T 0J1",52.0815033,-106.6436809
New Brunswick,MONCTON,MONCTON,MEDICINE SHOPPE,120 CHEMIN SHEDIAC ROAD,46.1029012,-64.7622038
New Brunswick,FREDERICTON ,,PLASTER ROCK PUBLIC HEALTH /CENTRE DE LA SANT? PUBLIQUE DE PLASTER ROCK,120 RUE MAIN STREET,46.2889742,-67.5157162
Saskatchewan,Regina,,Loblaw Pharmacy No. 1533,"1200 3806 Albert Street, Regina, SK, S4S 3R2",50.418433,-104.6185171
Saskatchewan,Saskatoon,,Shoppers Drug Mart No. 412,"1210 7th Avenue N, Saskatoon, SK, S7K 2W2",52.1443098,-106.6513944
Saskatchewan,Saskatoon,,Medicine Shoppe No. 343,"122 1 Campus Drive, Saskatoon, SK, S7N 5A3",52.130679,-106.6364537
Nunavut,,,Mental Health Central Intake Coordinator,"122 3rd Ave N, Saskatoon, SK S7K 2H6",52.12914,-106.66099
Ontario,,,Halton Regional Health Unit,"123 Maurice Dr, Oakville, ON L6K 2W6",43.4374955,-79.6785947
New Brunswick,MONCTON,DIEPPE,PHARMACIE JEAN COUTU #129,123 RUE CHAMPLAIN STREET,46.0951111,-64.752776
Ontario,,,Southwestern Public Health,"1230 Talbot St, St Thomas, ON N5P 1G9",42.7780116,-81.1512957
Saskatchewan,Saskatoon,,Shoppers Drug Mart No. 2467,"125 Kensington Boulevard, Saskatoon, SK, S7L 6V7",52.1299494,-106.7592854
Newfoundland and Labrador,,,Cow Head - Public Health Nurse,"125 Main Street, Cow Head, NL, AOK 2A0?",49.9114938,-57.7964959
New Brunswick,FREDERICTON,FREDERICTON,WAL-MART PHARMACY,125 TWO NATIONS CROSSING,45.9891498,-66.6264901
Saskatchewan,Moose Jaw,,Civic Centre Pharmacy,"1251-2C Main St. North, Moose Jaw, SK, S6H 6M3",50.3898311,-105.5350067
Saskatchewan,Saskatoon,,Save On Foods Pharmacy No. 5530,"126 Kensington Boulevard, Saskatoon, SK, S7L 6V7",52.1301187,-106.7581252
Quebec,?Saguenay¨CLac-Saint-Jean,,RLS Domaine-du-Roy,"1265-1267 boulevard du Sacr¨¦-Coeur, Saint-F¨¦licien, Qu¨¦bec, G8K 2R2",48.6546621,-72.4485116
Saskatchewan,Prince Albert,,Medi-Center Pharmacy,"12685 2nd Avenue W, Prince Albert, SK, S6V 5E3",53.1892221,-105.7601358
New Brunswick,FREDERICTON,FREDERICTON,MEDICINE SHOPPE,127 MAIN STREET,46.2888776,-67.5153698
New Brunswick,SAINT JOHN,ST. GEORGE,ST. GEORGE GUARDIAN,127 RUE BRUNSWICK STREET ¨C UNIT/UNIT? 2,45.96382,-66.65075
Saskatchewan,Prince Albert,,Pharmasave No. 413 P.A. Pharmacy,"12727 2nd Avenue West, Prince Albert, SK, S6V 5E5",53.1880947,-105.7601161
New Brunswick,MONCTON,PORT ELGIN,VILLAGE PHARMACY,13 RUE EAST MAIN STREET,46.451543,-67.6090479
Prince Edward Island,,Prince County,STRATFORD PHARMACY,"13 Stratford Road, Stratford",46.2278251,-63.1006372
Saskatchewan,Unity,,Delta Co-op Pharmacy,"130 2 Ave W, Unity, SK SOK4L0",52.4424135,-109.1602078
Ontario,,,Sudbury and District Health Unit,"1300 Paris St, Sudbury, ON P3E 3A3",46.4660362,-80.9982805
Saskatchewan,Saskatoon,,Brunskill Pharmacy,"1302 Temperance Street, Saskatoon, SK, S7N 0P3",52.1255329,-106.6386767
New Brunswick,FREDERICTON,EDMUNDSTON,FAMILIPRIX PHARMACIE SMYTH*,131 RUE DE L'EGLISE STREET,47.3629951,-68.3301963
New Brunswick,EDMUNDSTON ,,GRAND FALLS PUBLIC HEALTH /CENTRE DE LA SANT? PUBLIQUE DE GRANDSAULT,"131 RUE PLEASANT STREET, 2e ?TAGE/FLOOR",47.0447164,-67.7423474
Saskatchewan,Prince Albert,,Medical Pharmacy,"1335 Central Avenue, Prince Albert, SK, S6V 4W1",53.2004907,-105.7544661
Saskatchewan,Regina,,Loblaw Pharmacy No. 4377,"1341 Broadway Avenue, Regina, SK, S4P1E5",50.4369469,-104.5995382
New Brunswick,MONCTON,ELSIPOGTOG,ELSIPOGTOG PHARMASAVE,1-35 CHEMIN BIG COVE ROAD,46.6011173,-64.9933614
New Brunswick,FREDERICTON,NACKAWIC,RYAN'S PHARMACY LTD.,135 PROMENADE OTIS DRIVE UNIT/UNIT? 117,45.9952632,-67.2364374
New Brunswick,BATHURST,PAQUETVILLE,FAMILIPRIX,1351 RUE DES FONDATEURS,47.6669847,-65.1149618
Saskatchewan,Montmartre,,Pharmasave No. 414 Montmartre,"137 Central Avenue, Montmartre, SK, SOG 3M0",50.2193038,-103.447966
Quebec,Mont¨¦r¨¦gie,,SAINT-C?SAIRE,"1372, rue Notre-Dame",46.7941206,-71.3529958
New Brunswick,SAINT JOHN,SUSSEX,LAWTONS DRUGS,138 RUE MAIN STREET - SUITE 8,46.2893189,-67.5157041
New Brunswick,FREDERICTON,STE. ANNE DE MADAWASKA,PHARMACIE KEVIN SMYTH,138 RUE PRINCIPALE STREET,46.01703,-64.69108
New Brunswick,MONCTON,MONCTON,SOBEYS PHARMACY,1380 CHEMIN MOUNTAIN ROAD,46.1088539,-64.8315362
New Brunswick,FREDERICTON,FREDERICTON,LAWTONS DRUG,1381 RUE REGENT STREET COMP 220,45.9343676,-66.6638761
Newfoundland and Labrador,,,Bonavista Dr. Hilda Tremblett Wellness Centre,139-145 Coster Street Newfoundland and Labrador AOC 1B0,48.6522058,-53.1116341
Quebec,Mont¨¦r¨¦gie,,CHAMBLY,"1392, avenue?Bourgogne",46.7654784,-71.3120541
New Brunswick,FREDERICTON,FREDERICTON,WAL-MART PHARMACY,1399 RUE REGENT STREET,45.9340163,-66.6641026
Nunavut,,,Cambridge Bay Health Centre,"13A Omingmak St., Cambridge Bay, NU X0B 0C0",69.1178407,-105.0511549
Prince Edward Island,,Prince County,KINLOCK PHARMACY?,"14 Kinlock Road, Stratford",46.2199211,-63.0867441
Quebec,Outaouais,,PETITE-NATION CLSC,"14, Saint-Andr¨¦ St.Saint-Andr¨¦-Avellin QC J0V 1W0",45.7223899,-75.0591237
New Brunswick,SAINT JOHN,ROTHESAY,SOBEYS PHARMACY,140 CHEMIN HAMPTON ROAD,45.4012825,-65.9745028
New Brunswick,MONCTON,MONCTON,COSTCO PHARMACY,140 PROMENADE GRANITE DRIVE,46.128823,-64.7788651
Newfoundland and Labrador,Springdale,,Green Bay Community Health Center - Community,140A Little Bay Road P.O. Box 280 Springdale NLA0J 1T0,49.5028609,-56.0877558
Newfoundland and Labrador,,,Springdale Public Health Office,140A Little Bay Road?NL?A0J 1T0,49.5028609,-56.0877558
Newfoundland and Labrador,,,Springdale Public Health Office,140A Little Bay Road?NL?A0J 1T0,49.5028609,-56.0877558
Ontario,,,Renfrew County and District Health Unit,"141 Lake St, Pembroke, ON K8A 5L8",45.8266392,-77.1166832
Ontario,,,"Kingston, Frontenac and Lennox and Addington Health Unit","14209 Hwy 41, Cloyne, ON K0H 1K0",44.817697,-77.1849561
Saskatchewan,Regina,,YQR Pharmacy,"1420-A Albert St, Regina, SK S4R 2R7",50.4562789,-104.6191356
Newfoundland and Labrador,,,Fong's Motel Upper Level,"143 Columbus Dr.?Lower Level Fongs Motel,?NL?A1Y 1A6",47.7278257,-53.247864
Saskatchewan,Regina,,Shoppers Drug Mart No. 452,"144014th Avenue, Regina, SK, S4P 0W5",50.4502791,-104.6125178
Quebec,Abitibi-T¨¦miscamingue,Amos,Centre de r¨¦adaptation en d¨¦ficience intellectuelle et troubles du spectre de l¡¯autisme (Clair Foyer),"1442 Rue Beauharnois, Longueuil, QC J4M 1C2",45.53552,-73.4536399
Saskatchewan,Moose Jaw,,TLC Pharmacy,"149 1235 Main Street N, Moose Jaw, SK, S6H 6M4",50.4044998,-105.5304673
New Brunswick,SAINT JOHN,SAINT JOHN,SOBEYS PHARMACY,149 AVENUE LANSDOWNE AVENUE,45.2796959,-66.0787935
Newfoundland and Labrador,,,Stephenville - Public Health Nurse,"149 Montana Drive, 2nd Floor, Stephenville, NL, A2N 2T4",48.5573802,-58.5644213
Quebec,Outaouais,,MANIWAKI CLSC,"149, Principale Nord St.Maniwaki QC J9E 2B7",46.3839,-75.9845969
New Brunswick,SAINT JOHN,SAINT JOHN,REXALL PHARMACY,1490 CHEMIN MANAWAGONISH ROAD,45.2383865,-66.1211446
New Brunswick,FREDERICTON,FLORENCEVILLE,NORTHERN CARLETON PHARMACY,15 RUE MCCAIN STREET,46.4400721,-67.6188385
Ontario,,,Chatham-Kent Health Unit,"150 Richmond St, Chatham, ON N7M 1N9",42.3978825,-82.1879241
New Brunswick,FREDERICTON,FREDERICTON,ST. MARY'S PHARMACY,150 RUE CLIFFE STREET UNIT/ UNIT? 4,45.9716958,-66.6313629
Quebec,Abitibi-T¨¦miscamingue,Val-d¡¯Or,Galerie Val-d¡¯Or,"1500 Chem. Sullivan, Val-d'Or, QC J9P 1M1",48.1058851,-77.8055279
Saskatchewan,Swift Current,,Drugstore Pharmacy No. 6705,"1501 North Service Road E, Swift Current, SK, S9H 4X7",50.3048321,-107.7817331
Quebec,Mont¨¦r¨¦gie,,ACTON VALE,"1505, 3e Avenue",46.8297054,-71.2330285
Saskatchewan,Saskatoon,,Save On Foods Pharmacy No. 5545,"151 Gibson Bend, Saskatoon, SK, S7V 0P1",52.1338808,-106.5522574
Prince Edward Island,,Prince County,Medicine Shoppe,"152 Poplar St, Alberton",46.8112964,-64.0647796
Saskatchewan,Saskatoon,,Rexall No. 7303 Hewgills,"1530 20th Street W, Saskatoon, SK, S7M 0Z6",52.126444,-106.6938411
Saskatchewan,Saskatoon,,Sobeys Pharmacy No. 3140,"1550 8th Street E, Saskatoon, SK, S7H 0T3",52.1141684,-106.6320095
Saskatchewan,Melville,,Pharmasave No. 407,"156 2nd Avenue E, Melville, SK, SOA 2P0",50.9273348,-102.8047939
New Brunswick,CAMPBELLTON,CAMPBELLTON,SHOPPERS DRUG MART #170,157 RUE WATER STREET,47.02125,-65.48447
Newfoundland and Labrador,,,Carbonear Community Services,15A Industrial Crescent?Newfoundland and Labrador?A1Y 1A4,47.7277247,-53.2396572
Prince Edward Island,,Prince County,WELLINGTON PHARMACY,"16 Pond Drive, Wellington",46.4529108,-64.0013507
New Brunswick,FREDERICTON,EDMUNDSTON,SHOPPERS DRUG MART #167,160 BOULEVARD HEBERT BOULEVARD,47.3717831,-68.3186552
Ontario,,,Lambton Health Unit,"160 Exmouth St, Sarnia, ON N7T 7Z6",42.986413,-82.404751
Quebec,Outaouais,,MANSFIELD-ET-PONTEFRACT CLSC,160 La Chute Rd.Mansfield-et-Pontefract QC J0X 1R0,45.8474619,-76.729923
Quebec,Laval,,"Centre Laval, near gate 3","1600, boul. Le Corbusier, Laval
H7S 1Y9",45.5617576,-73.732182
Saskatchewan,Saskatoon,,NorDon Drugs,"1610 Isabella Street E, Saskatoon, SK, S7J 0C1",52.1050368,-106.6313428
Saskatchewan,Warman,,Co-op Pharmacy Warman,"1620 Central Street W, Warman, SK, SOK 4S0",52.3184656,-106.5819382
Saskatchewan,Saskatoon,,Westview Co-op 33rd Street Pharmacy,"1624 33rd Street West, Saskatoon, SK, S7L 0X3",52.145067,-106.6952897
New Brunswick,MONCTON,MONCTON,SHOPPERS DRUG MART #593,1633 CHEMIN MOUNTAIN ROAD,46.1177299,-64.8394172
New Brunswick,MONCTON,MONCTON,LOBLAWS PHARMACY,165 RUE MAIN STREET,46.5032684,-67.5846048
New Brunswick,BATHURST ,,BATHURST PUBLIC HEALTH /CENTRE DE LA SANT? PUBLIQUE DE BATHURST,165 RUE ST. ANDREWS STREET,47.6183417,-65.6540344
New Brunswick,SAINT JOHN,SAINT JOHN,LOBLAWS PHARMACY,168 AVENUE ROTHESAY AVENUE,45.2879589,-66.0450532
New Brunswick,MONCTON,MONCTON,MEDICINE SHOPPE,1685 RUE MAIN STREET,47.0597024,-67.7896998
Ontario,,,Porcupine Health Unit,"169 Pine St S, Timmins, ON P4N 2K3",48.4725374,-81.3286218
Saskatchewan,Regina,,Pharmasave No. 420,"1695 Dewdney Avenue, Regina, SK, S4N 4N6",50.4547835,-104.5597065
Saskatchewan,Yorkton,,Medicine Shoppe No. 394,"17 259 Hamilton Rd, Yorkton, SK, S3N 4C6",51.207296,-102.443843
Saskatchewan,Warman,,Legends Pharmacy,"17- 810 Centennial Blvd, Warman, SK, S0K4S0",52.3310713,-106.5793457
New Brunswick,FREDERICTON,STANLEY,JOHNSTONE'S PHARMACY,17 RUE CENTENNIAL STREET,46.282879,-66.7426136
Saskatchewan,Saskatoon,,Shoppers Drug Mart No. 2462,"170 3010 Preston Avenue, Saskatoon, SK, S7T 0V2",52.087707,-106.623946
New Brunswick,FREDERICTON,FREDERICTON,MEDICINE SHOPPE,170 CHEMIN DOAK ROAD - BOX 602,45.9100497,-66.6171662
Quebec,Laurentides,,Saint-Sauveur,"170, chemin du Lac-Millette, J0R 1R0",45.892531,-74.1493599
Saskatchewan,Saskatoon,,Wal-Mart Pharmacy No. 3084,"1706 Preston Avenue N, Saskatoon, SK, S7N 4Y1",52.1499715,-106.6214719
Saskatchewan,Regina,,Wellness Pharmacy Canterbury Park,"1713 Badham Boulevard, Regina, SK, S4P 0L9",50.4388655,-104.6053809
