Province,District,Facility,latitude,longitude,public_or_private
Eastern Cape,,Clicks Pharmacy - Motherwell,-33.7758914,25.5829107,Private
Eastern Cape,,Clicks Pharmacy - Mthatha,-31.5885653,28.7930171,Private
Eastern Cape,,Clicks Pharmacy - Mthatha Plaza,-31.5942459,28.7874789,Private
Eastern Cape,,Clicks Pharmacy - New Brighton,-33.88502,25.562972,Private
Eastern Cape,,Clicks Pharmacy - Nonesi Mall,-31.900675,26.871993,Private
Eastern Cape,Nelson Mandela Bay MM,Clicks Pharmacy - Penford Shopping Centre,-33.75933,25.4076829,Private
Eastern Cape,,Clicks Pharmacy - Pier 14,-33.95065,25.60805,Private
Eastern Cape,,Clicks Pharmacy - Rosehill,-33.600548,26.861251,Private
Eastern Cape,,Clicks Pharmacy - Sterkspruit,-30.524964,27.3645855,Private
Eastern Cape,,Clicks Pharmacy - Summerstrand Village,-33.9867619,25.668261,Private
Eastern Cape,Nelson Mandela Bay MM,Clicks Pharmacy - Sunridge Village,-33.95149129,25.52677686,Private
Eastern Cape,,Clicks Pharmacy - The Bridge,-33.9356681,25.4741424,Private
Eastern Cape,,Clicks Pharmacy - Uitenhage,-33.7672371,25.3981543,Private
Eastern Cape,Buffalo City MM,Clicks Pharmacy - Vincent Park,-32.98349296,27.90414405,Private
Eastern Cape,,Clicks Pharmacy - Walker Drive Shopping Centre,-33.9585459,25.5023049,Private
Eastern Cape,Nelson Mandela Bay MM,Clicks Pharmacy - Walmer Park,-33.98045457,25.5595445,Private
Eastern Cape,Joe Gqabi DM,Cloete Joubert (Barkly East) Hospital,-30.96762,27.58507,Public
Eastern Cape,Sarah Baartman DM,CM Pharmacy,-34.0318456,24.7693788,Private
Eastern Cape,,Cofimvaba Hospital,-32.01197,27.58348,Public
Eastern Cape,,Coldstream Satellite Clinic,-33.96185,23.70077,Public
Eastern Cape,,Collett's Pharmacy,-32.5697854,27.4275458,Private
Eastern Cape,,Cradock Hospital,-32.16734,25.62243,Public
Eastern Cape,,Cwecweni Clinic,-31.93675,28.05575,Public
Eastern Cape,,Cwele Clinic,-31.67205,29.21289,Public
Eastern Cape,,Daliwonga Clinic,-31.10528,29.9072,Public
Eastern Cape,,Didimana Clinic,-32.07305,26.34197,Public
Eastern Cape,Buffalo City MM,Dimbaza Community Health Centre,-32.83526441,27.21402764,Public
Eastern Cape,Nelson Mandela Bay MM,Dis-Chem Baywest Shopping Centre,-33.9515306,25.4604312,Private
Eastern Cape,Buffalo City MM,Dis-Chem Hemmingways Pharmacy,-32.97060293,27.9009807,Private
Eastern Cape,,Dis-Chem Pharmacy  - Cape Road Pharmacy,-33.9499662,25.5719362,Private
Eastern Cape,,Dis-Chem Pharmacy - Jefferys Bay,-34.0306586,24.8991375,Private
Eastern Cape,,Dis-Chem Pharmacy - Walmer Park,-33.9802944,25.5585444,Private
Eastern Cape,,Donnington Clinic,-32.72367,27.42576,Public
Eastern Cape,,Dora Nginza Hospital,-33.8756,25.55919,Public
Eastern Cape,,Dordrecht Clinic,-31.37484,27.04622,Public
Eastern Cape,,Dordrecht Hospital,-31.39132,27.04435,Public
Eastern Cape,,Double Falls Clinic,-31.37392,29.12298,Public
Eastern Cape,,Dr CL Bikitsha Clinic,-32.27825,28.10553,Public
Eastern Cape,,Dr Malizo Mpehle Memorial Hospital,-31.31661,28.77775,Public
Eastern Cape,,Drake Road Clinic,-32.98579,27.9292,Public
Eastern Cape,,Du Preez Street Clinic,-33.80337,25.46274,Public
Eastern Cape,Buffalo City MM,Duncan Village Community Health Centre,-33.00775069,27.88616799,Public
Eastern Cape,,Dundee Clinic,-30.74891,29.4183,Public
Eastern Cape,,Dungu Clinic,-30.9569,29.3028,Public
Eastern Cape,,Durban Street Pharmacy,-33.7696586,25.3942447,Private
Eastern Cape,,Edamini Clinic,-33.83273,25.38563,Public
Eastern Cape,,Efata Clinic,-31.56973,28.7242,Public
Eastern Cape,,Ekuphumleni Clinic,-32.17816,26.78186,Public
Eastern Cape,,Elliot Clinic,-31.33335,27.84953,Public
Eastern Cape,,Elliot Hospital,-31.33719,27.83797,Public
Eastern Cape,,Elucwecwe Clinic,-31.73385,27.8688,Public
Eastern Cape,,Eluhewini Clinic,-31.70584,28.12643,Public
Eastern Cape,,Elukholweni Clinic,-30.6329,28.84811,Public
Eastern Cape,,Eluxolweni Clinic,-31.64335,25.80519,Public
Eastern Cape,,Empilisweni Hospital,-31.1936,28.23954,Public
Eastern Cape,Buffalo City MM,Empilweni Gompo Community Health Centre,-33.01443983,27.84898943,Public
Eastern Cape,,Esilindini Clinic,-30.54392,27.3303,Public
Eastern Cape,,Eureka Clinic,-31.01036,26.31904,Public
Eastern Cape,,Ezibeleni Clinic,-31.90816,26.95643,Public
Eastern Cape,,Ezingcuka Clinic,-31.30059,28.65825,Public
Eastern Cape,,Fezeka NU 3 Clinic,-32.93193,27.75319,Public
Eastern Cape,,Flagstaff Clinic,-31.08006,29.49612,Public
Eastern Cape,Sarah Baartman DM,Fonteine Park,-34.0378339,24.929755,Private
Eastern Cape,,Fort Beaufort Gateway Clinic,-32.7816,26.6348,Public
Eastern Cape,Amathole DM,Fort Beaufort Hospital,-32.7817,26.63483,Public
Eastern Cape,Sarah Baartman DM,Fort England Hospital,-33.31560739,26.54099941,Public
Eastern Cape,,Fort Grey Clinic,-33.03708,27.80318,Public
Eastern Cape,,Frankfort Clinic,-32.72026,27.45267,Public
Eastern Cape,,Fransbury Clinic,-31.96443,27.07867,Public
Eastern Cape,Buffalo City MM,Frere Gateway Clinic,-32.9965,27.8899,Public
Eastern Cape,Buffalo City MM,Frere Hospital,-32.99599,27.89156,Public
Eastern Cape,Chris Hani DM,Frontier Hospital,-31.88968,26.87283,Public
Eastern Cape,,Gardens Clinic,-31.89499,26.8719,Public
Eastern Cape,,Gcaleka Clinic,-32.33795,28.31987,Public
Eastern Cape,Nelson Mandela Bay MM,Gelvandale Clinic,-33.91633719,25.55001138,Public
Eastern Cape,,Gengqe Clinic,-31.9024251,28.6981733,Public
Eastern Cape,,Gilton Clinic,-32.66184,26.94244,Public
Eastern Cape,,Ginsberg Clinic,-32.89217,27.38547,Public
Eastern Cape,,Glen Grey Hospital,-31.71991,27.19939,Public
Eastern Cape,,Glenmore Clinic,-33.14268,26.85843,Public
Eastern Cape,,Gompo A Ndende Clinic,-33.00727,27.87616,Public
Eastern Cape,,Gompo B Jwayi Clinic,-33.01677,27.8578,Public
Eastern Cape,,Gompo C Jabavu Clinic,-33.01163,27.86389,Public
Eastern Cape,Buffalo City MM,Gonubie Clinic,-32.94137554,28.02215206,Public
Eastern Cape,,Govan Mbeki Clinic,-33.75672,25.65792,Public
Eastern Cape,,Gqaga Clinic,-31.55411,28.2108,Public
Eastern Cape,,Gqaqhala Clinic,-31.2827,28.38764,Public
Eastern Cape,Nelson Mandela Bay MM,Gqebera Community Health Centre,-33.98614,25.58886,Public
Eastern Cape,,Gqogqora Clinic,-31.98053,27.8884,Public
Eastern Cape,,Gqubeni Clinic,-31.88333,29.05,Public
Eastern Cape,,Gqunqe Clinic,-32.46887,28.56265,Public
Eastern Cape,,Graaff-Reinet Day Hospital,-32.27283,24.55239,Public
Eastern Cape,,Gracey Clinic,-32.57874,25.12838,Public
Eastern Cape,,Grainvalley Clinic,-32.23765,28.04856,Public
Eastern Cape,Buffalo City MM,Greenfields Clinic,-33.03489699,27.8642843,Public
Eastern Cape,,Greenfields Pharmacy,-33.0344285,27.8660597,Private
Eastern Cape,,Greenville Gateway Clinic,-30.919,30.09949,Public
Eastern Cape,,Greenville Hospital,-30.93056,30.10899,Public
Eastern Cape,,Grey Gateway Clinic,-32.88,27.39581,Public
Eastern Cape,Buffalo City MM,Grey Hospital,-32.87932,27.39579,Public
Eastern Cape,,Guba Clinic,-31.53542,27.2793,Public
Eastern Cape,,Gubenxa Clinic,-31.71746,27.82102,Public
Eastern Cape,,Gura Clinic,-31.02666,28.84105,Public
Eastern Cape,,Gustav Lamour Clinic,-33.81593,25.46387,Public
Eastern Cape,,Gwabeni Clinic,-33.09611,26.96185,Public
Eastern Cape,,Gwadu Clinic,-32.22032,28.66774,Public
Eastern Cape,,Gwatyu Clinic,-32.01695,27.31561,Public
Eastern Cape,,Gxwederha Clinic,-32.84161,26.78648,Public
Eastern Cape,,Hackney Clinic,-32.31443,26.64521,Public
Eastern Cape,,Hamburg Clinic,-33.29058,27.4733,Public
Eastern Cape,,Haytor Clinic,-32.29423,26.77051,Public
Eastern Cape,Amathole DM,Hebe-Hebe Clinic,-32.23609,27.83032,Public
Eastern Cape,,Herschel Clinic,-30.61479,27.16438,Public
Eastern Cape,Chris Hani DM,Hewu Hospital,-32.17271,26.80522,Public
Eastern Cape,,Highview Clinic,-32.43512,27.94669,Public
Eastern Cape,,Hillside Clinic (Nkonkobe),-32.75227,26.63978,Public
Eastern Cape,,Hillside Clinic (Senqu),-30.56109,27.56422,Public
Eastern Cape,,Hilton Clinic,-30.69718,26.70189,Public
Eastern Cape,,Hlabatshane Clinic,-31.74491,28.85659,Public
Eastern Cape,,Hlala Uphilile Clinic,-31.38105,27.03673,Public
Eastern Cape,,Hlamandana Clinic,-30.81761,29.72065,Public
Eastern Cape,,Hlangalane Clinic,-30.95862,28.55037,Public
Eastern Cape,,Hlankomo Clinic,-30.93036,28.41911,Public
Eastern Cape,,Hobeni Clinic,-32.17509,28.87571,Public
Eastern Cape,,Hofmeyer Clinic,-31.65587,25.80396,Public
Eastern Cape,,Holy Cross Gateway Clinic,-31.08129,29.49535,Public
Eastern Cape,,Holy Cross Hospital,-31.08128,29.49531,Public
Eastern Cape,,Horseshoe Clinic,-32.26078,24.53628,Public
Eastern Cape,,Hukuwa Clinic,-32.15547,26.64698,Public
Eastern Cape,,Humansdorp Clinic,-34.03224,24.76844,Public
Eastern Cape,Sarah Baartman DM,Humansdorp Hospital,-34.0302657,24.78108,Public
Eastern Cape,,Ibika Clinic,-32.28354,28.22048,Public
Eastern Cape,,Idutywa Nqabara Clinic,-32.10094,28.45375,Public
Eastern Cape,,Idutywa Village Community Health Centre,-32.09702,28.29909,Public
Eastern Cape,,Ikamvelihle Clinic,-33.79326,25.61303,Public
Eastern Cape,,Ilinge Clinic,-31.97734,27.0402,Public
Eastern Cape,,Ilita Clinic,-32.88993,27.53385,Public
Eastern Cape,Buffalo City MM,Imidange Clinic,-32.8769909,27.39183,Public
Eastern Cape,,Imizamo Yetho Clinic,-33.74304,24.79744,Public
Eastern Cape,,Imizizi Clinic,-30.9089,29.97082,Public
Eastern Cape,,Indwe Hospital,-31.46834,27.34042,Public
Eastern Cape,,Intercare Walmer,-33.9910535,25.5570745,Private
Eastern Cape,,Isikelo Clinic,-30.78666,29.76793,Public
Eastern Cape,,Isikhoba Clinic,-32.00985,27.58225,Public
Eastern Cape,,Isilimela Gateway Clinic,-31.73418,29.35891,Public
Eastern Cape,,Isilimela Hospital,-31.73422,29.35888,Public
Eastern Cape,Alfred Nzo DM,Isilindini Clinic,-30.62,28.59078,Public
Eastern Cape,,Isolomzi Clinic,-33.82568,25.37535,Public
Eastern Cape,,Jafta Clinic,-32.79885,27.31083,Public
Eastern Cape,,Jaji Clinic,-33.35145,27.11316,Public
Eastern Cape,,Jalamba Clinic,-32.01693,28.73915,Public
Eastern Cape,,Jama Clinic,-33.37697,27.09369,Public
Eastern Cape,Joe Gqabi DM,Jamestown Clinic,-31.08681,26.84455,Public
Eastern Cape,Joe Gqabi DM,Jamestown Hospital,-31.12366,26.8074,Public
Eastern Cape,N Mandela Bay MM,Joe Slovo Clinic,-33.82507,25.50272,Public
Eastern Cape,Buffalo City MM,John Dube Clinic,-32.99137,27.81635,Public
Eastern Cape,Buffalo City MM,John Forbes Pharmacy,-33.005683,27.900759,Private
Eastern Cape,Sarah Baartman DM,Joubertina Community Health Centre,-33.8264113,23.8650687,Public
Eastern Cape,,Joza Clinic,-33.29171,26.56033,Public
Eastern Cape,,Kalankomo Clinic,-30.94361,28.71078,Public
Eastern Cape,,Kamastone Clinic,-32.0695,26.64874,Public
Eastern Cape,,Kambi Clinic,-31.49292,28.66171,Public
Eastern Cape,,Kanyayo (Bizana) Clinic,-31.07929,29.8004,Public
Eastern Cape,,Kareedouw Clinic,-33.95242,24.30601,Public
Eastern Cape,,Kati-Kati Clinic,-32.28822,27.15709,Public
Eastern Cape,,Katkop Clinic,-30.89775,28.54941,Public
Eastern Cape,,KB Siswana Clinic,-31.55925,26.54925,Public
Eastern Cape,,Kenton Pharmacy,-33.6818122,26.6746552,Private
Eastern Cape,,Kenton-On-Sea Clinic,-33.67626,26.66627,Public
Eastern Cape,,Khanyayo (Holy Cross) Clinic,-31.19388,29.84544,Public
Eastern Cape,Joe Gqabi DM,Khayamnandi Clinic,-31.2817,25.812072,Public
Eastern Cape,,Khotsong TB Hospital,-30.34818,28.82118,Public
Eastern Cape,,Khuze Clinic,-32.21278,27.62775,Public
Eastern Cape,,Kirkwood Care Centre,-33.391703,25.4427185,Private
Eastern Cape,,Kirkwood Clinic,-33.40066,25.44287,Public
Eastern Cape,,Kleinbulhoek Clinic,-32.10002,26.56023,Public
Eastern Cape,,Klinicare Belmore Pharmacy,-33.94564,25.5434556,Private
Eastern Cape,N Mandela Bay MM,Klinicare Blooms Pharmacy,-33.9485669,25.5653409,Private
Eastern Cape,N Mandela Bay MM,Klinicare Bluewater Bay Pharmacy,-33.8505408,25.6306566,Private
Eastern Cape,N Mandela Bay MM,Klinicare Despatch Pharmacy,-33.80047,25.47166,Private
Eastern Cape,N Mandela Bay MM,Klinicare Kabega Pharmacy,-33.9415189,25.4995191,Private
Eastern Cape,N Mandela Bay MM,Klinicare Kings Court Pharmacy,-33.9914725,25.556945,Private
Eastern Cape,,Klinicare Lorraine Pharmacy,-33.969749,25.5263019,Private
Eastern Cape,N Mandela Bay MM,Klinicare Mill Park,-33.9592396,25.5981478,Private
Eastern Cape,N Mandela Bay MM,Klinicare Mosel,-33.7525247,25.4044108,Private
Eastern Cape,N Mandela Bay MM,Klinicare Summerstrand,-33.9977389,25.6556928,Private
Eastern Cape,Sarah Baartman DM,Klinicare Uitenhage Pharmacy,-33.765726,25.3990799,Private
Eastern Cape,Sarah Baartman DM,Klinicare Vallei,-33.4010986,25.4430216,Private
Eastern Cape,,Klinicare Walmer Pharmacy,-33.9817195,25.5664893,Private
Eastern Cape,,Klinimed Pharmacy,-33.94766,25.5628912,Private
Eastern Cape,N Mandela Bay MM,Klinipharm Pharmacy,-33.9477707,25.558859,Private
Eastern Cape,OR Tambo DM,Kohlo Clinic,-31.57014,29.40748,Public
Eastern Cape,Amathole DM,Komga Hospital,-32.57606,27.89576,Public
Eastern Cape,N Mandela Bay MM,Korsten Community Health Centre,-33.92519,25.57074,Public
Eastern Cape,,Krakeel Clinic,-33.81431,23.72769,Public
Eastern Cape,,Kroonvale Clinic,-32.23925,24.54027,Public
Eastern Cape,,Kruisfontein Clinic,-34.02242,24.74633,Public
Eastern Cape,,KTC Clinic,-31.25,29.52,Public
Eastern Cape,,Ku Bengu Clinic,-32.14341,27.61732,Public
Eastern Cape,,Kubusi Clinic,-32.59433,27.41285,Public
Eastern Cape,,Kungisizwe Clinic,-30.82852,28.60494,Public
Eastern Cape,,Kwa-Nonqubela Clinic,-33.65681,26.42042,Public
Eastern Cape,,Kwa-Nonzwakazi Clinic,-33.31736,26.09077,Public
Eastern Cape,,Kwadwesi Clinic,-33.84819,25.51882,Public
Eastern Cape,,Kwamagxaki Clinic,-33.84024,25.5335,Public
Eastern Cape,,Kwanonzame New Clinic,-31.51667,24.99938,Public
Eastern Cape,,Kwanonzame Old Clinic,-31.51673,25.0091,Public
Eastern Cape,,Kwazakhele Clinic,-33.88099,25.59174,Public
Eastern Cape,N Mandela Bay MM,Kwazakhele Community Health Centre,-33.87755,25.58605,Public
Eastern Cape,,Kwazamukucinga Clinic,-32.94289,24.67789,Public
Eastern Cape,,Kwazenzele Clinic,-33.43921,25.97433,Public
Eastern Cape,,Kwelera Clinic,-32.82361,27.96311,Public
Eastern Cape,,Lady Grey Hospital,-30.7128,27.21188,Public
Eastern Cape,N Mandela Bay MM,Laetitia Bam Community Health Centre,-33.80801,25.39833,Public
Eastern Cape,,Lahlangubo Clinic (Ngcobo),-31.6614,27.8667,Public
Eastern Cape,,Lahlangubo Clinic (Queenstown),-32.20132,26.69507,Public
Eastern Cape,OR Tambo DM,Langeni Clinic,-31.4086,28.54192,Public
Eastern Cape,,Lanti Clinic,-31.867,27.35901,Public
Eastern Cape,Sarah Baartman DM,Leach Pharmacy,-33.594049,26.88451,Private
Eastern Cape,,Lesseyton Clinic,-31.84248,26.77731,Public
Eastern Cape,,Libode Clinic,-31.54509,29.0167,Public
Eastern Cape,,Life Beacon Bay Hospital,-32.951034,27.9349853,Private
Eastern Cape,,Life East London Private Hospital,-33.0133,27.9005,Private
Eastern Cape,,Life Mercantile Hospital,-33.93595,25.5827364,Private
Eastern Cape,,Life Queenstown Private Hospital,-31.8978136,26.8798461,Private
Eastern Cape,Buffalo City MM,Life St Dominic's Hospital,-32.99768149,27.90336733,Private
Eastern Cape,N Mandela Bay MM,Life St George's Hospital,-33.96826463,25.60465295,Private
Eastern Cape,,Life St James Hospital,-33.0004744,27.9009387,Private
Eastern Cape,,Life St Mary's Hospital,-31.5914288,28.7853232,Private
Eastern Cape,,Likhetlane Clinic,-30.357,28.52615,Public
Eastern Cape,,Lingelihle Clinic,-32.18062,25.62915,Public
Eastern Cape,N Mandela Bay MM,Linton Grange Clinic,-33.94349,25.51619,Public
Eastern Cape,N Mandela Bay MM,Livingstone Hospital,-33.9254,25.5697,Public
Eastern Cape,,Lizo Ngcana Clinic,-31.92166,26.86329,Public
Eastern Cape,,Loerie Clinic,-33.8641,25.02573,Public
Eastern Cape,,Lota Clinic,-31.86325,28.33632,Public
Eastern Cape,,Lotana Clinic,-31.28266,28.91647,Public
Eastern Cape,,Louterwater Clinic,-33.78993,23.63105,Public
Eastern Cape,,Lower Gungululu Clinic,-31.46282,28.82191,Public
Eastern Cape,,Lower Mncuncuzo Clinic,-31.90831,27.59776,Public
Eastern Cape,,Lower Regu Clinic,-32.81815,26.95249,Public
Eastern Cape,,Lower Seplan Clinic,-31.71272,27.4433,Public
Eastern Cape,,Lower Tsitsana Clinic,-30.52606,28.20802,Public
Eastern Cape,,Lower Zingcuka Clinic,-32.71919,27.09884,Public
Eastern Cape,,Lubaleko Clinic,-30.69499,29.36698,Public
Eastern Cape,,Lubisi Clinic,-31.80376,27.45643,Public
Eastern Cape,,Ludalasi Clinic,-31.63024,29.32684,Public
Eastern Cape,,Lugangeni Clinic,-30.8333,28.93437,Public
Eastern Cape,,Lujizweni Clinic,-31.76992,29.01789,Public
Eastern Cape,,Lukhanyiso Clinic,-33.52238,25.71037,Public
Eastern Cape,,Lukhanyo Clinic,-33.81715,25.45554,Public
Eastern Cape,,Lunga Kobese Clinic,-33.88577,25.58083,Public
